split,model,accuracy,bal_acc,f1_macro,f1_weighted,random_baseline,n_subjects
low_to_high_A,logistic_regression,0.1304,0.1304,0.0859,0.0859,0.0145,69
low_to_high_A,svm_rbf,0.1304,0.1304,0.1024,0.1024,0.0145,69
low_to_high_A,random_forest,0.1014,0.1014,0.0604,0.0604,0.0145,69
low_to_high_A,xgboost,0.0290,0.0290,0.0022,0.0022,0.0145,69
low_to_high_B,logistic_regression,0.1304,0.1304,0.0790,0.0790,0.0145,69
low_to_high_B,svm_rbf,0.1014,0.1014,0.0694,0.0694,0.0145,69
low_to_high_B,random_forest,0.0725,0.0725,0.0469,0.0469,0.0145,69
low_to_high_B,xgboost,0.0145,0.0145,0.0007,0.0007,0.0145,69
high_to_low,logistic_regression,0.1304,0.1304,0.0993,0.0993,0.0145,69
high_to_low,svm_rbf,0.1304,0.1304,0.0995,0.0995,0.0145,69
high_to_low,random_forest,0.1304,0.1304,0.1159,0.1159,0.0145,69
high_to_low,xgboost,0.0290,0.0290,0.0039,0.0039,0.0145,69
medium_to_extremes,logistic_regression,0.1594,0.1594,0.1008,0.1008,0.0145,69
medium_to_extremes,svm_rbf,0.1304,0.1304,0.0691,0.0691,0.0145,69
medium_to_extremes,random_forest,0.1159,0.1159,0.0724,0.0724,0.0145,69
medium_to_extremes,xgboost,0.0435,0.0435,0.0078,0.0078,0.0145,69
same_level_low,logistic_regression,0.2319,0.2319,0.1703,0.1703,0.0145,69
same_level_low,svm_rbf,0.2754,0.2754,0.1872,0.1872,0.0145,69
same_level_low,random_forest,0.2029,0.2029,0.1522,0.1522,0.0145,69
same_level_low,xgboost,0.0145,0.0145,0.0014,0.0014,0.0145,69
same_level_high,logistic_regression,0.1159,0.1159,0.0739,0.0739,0.0145,69
same_level_high,svm_rbf,0.1594,0.1594,0.1196,0.1196,0.0145,69
same_level_high,random_forest,0.1159,0.1159,0.0821,0.0821,0.0145,69
same_level_high,xgboost,0.0145,0.0145,0.0010,0.0010,0.0145,69
all_low_to_all_high,logistic_regression,0.1159,0.1159,0.0790,0.0790,0.0145,69
all_low_to_all_high,svm_rbf,0.1159,0.1159,0.0855,0.0855,0.0145,69
all_low_to_all_high,random_forest,0.1014,0.1014,0.0582,0.0582,0.0145,69
all_low_to_all_high,xgboost,0.0000,0.0000,0.0000,0.0000,0.0145,69
